"aggState","rptMStateKey","aggID","aggCode","aggName","aggNUTS","aggLatitude","aggLongitude","aggGenerated","bigID","aggCalculation","aggChanges","aggChangesComment","aggPeriodOver","aggC1","aggMethodC1","aggC2","aggMethodC2","aggPercWithoutTreatment","aggMethodWithoutTreatment"
"106","AT",1,"ATAG_1-00000001","Andau",1813,47.7792,17.0504,8000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",2,"ATAG_1-00000005","Deutschkreuz (Mittleres Burgenland) Goldbachtal",1812,47.5949,16.6416,65000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",3,"ATAG_1-00000006","Deutsch Schützen (Deutsch Schützen - Höll)",1814,47.1375,16.4477,4100,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",4,"ATAG_1-00000010","Eisenstadt (Eisbachtal)",1813,47.832,16.5442,42000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",5,"ATAG_1-00000013","Frauenkirchen",1813,47.8274,16.9243,7250,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",6,"ATAG_1-00000015","Gattendorf (Gattendorf-Neudorf)",1813,48.0121,16.9943,5000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",7,"ATAG_1-00000016","Gols (Gols - Mönchhof)",1813,47.8867,16.9211,40000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",8,"ATAG_1-00000018","Großwarasdorf",1812,47.5105,16.5684,2500,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",9,"ATAG_1-00000020","Heiligenbrunn",1814,47.0126,16.4528,2500,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",10,"ATAG_1-00000027","Jois",1813,47.9534,16.7936,8400,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",11,"ATAG_1-00000030","Klostermarienberg (Lockenhaus) Günstal",1812,47.4243,16.5814,15200,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",12,"ATAG_1-00000036","Mischendorf",1814,47.1951,16.3259,2500,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",13,"ATAG_1-00000040","Neufeld (Neufelderseengebiet)",1817,47.8818,16.3854,28700,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",14,"ATAG_1-00000042","Nikitsch",1812,47.5317,16.6705,2800,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",15,"ATAG_1-00000044","Oberpullendorf (Mittleres Burgenland) Stooberbachtal",1812,47.4876,16.5304,25000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",16,"ATAG_1-00000050","Riedlingsdorf (Oberes Pinkatal)",1814,47.3295,16.1494,17000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",17,"ATAG_1-00000051","Podersdorf",1813,47.8642,16.8409,20000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",18,"ATAG_1-00000055","Rechnitz",1814,47.3019,16.4553,5000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",19,"ATAG_1-00000057","Siget / Wart (Mittleres Pinka- und Zickenbachtal)",1814,47.2538,16.2788,45000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",20,"ATAG_1-00000060","Schandorf - Schachendorf",1814,47.2385,16.4212,2000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",21,"ATAG_1-00000061","Schattendorf",1813,47.7145,16.5211,7400,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",22,"ATAG_1-00000064","Bocksdorf (Oberes Stremtal)",1814,47.1391,16.1837,12500,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",23,"ATAG_1-00000066","St.Andrä",1813,47.7855,16.9212,5130,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",24,"ATAG_1-00000074","Wulkaprodersdorf (Wulkatal)",1813,47.8003,16.5183,100000,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",25,"ATAG_1-00000077","Pamhagen (Seewinkel)",1813,47.7145,16.8848,26300,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
"106","AT",26,"ATAG_1-00000078","Nickelsdorf (Nickelsdorf - Zurndorf)",1813,47.9444,17.0904,12500,,"treatment capacity of plant as indication for generated load","122","",31/12/2005,100,"15",0,"15",0,"15"
