"rptMStateKey","repCode","repVersion","repSituationAt","repReportedPeriod"
"AT","AT_UWWTD_2007_1",27/08/2008,31/12/2006,"2006"
"BE","BE 01",27/08/2008,31/12/2005,"2005"
"DE","DE2005",27/08/2008,31/12/2005,"2005"
"EE","EE2007",27/08/2008,31/12/2005,"2005"
"FI","FI2005A",27/08/2008,31/12/2005,"2005"
"FR","FR6",27/08/2008,31/12/2006,"2006"
"HU","HU-91271CQ-2007",27/08/2008,31/12/2005,"2005"
"LV","LV001",27/08/2008,31/12/2005,"2005"
"LT","LT1",27/08/2008,31/12/2005,"2005"
"LU","LU1",27/08/2008,31/12/2005,"2005"
"NL","NL1",27/08/2008,31/12/2005,"2005"
"PT","PT1",27/08/2008,31/12/2005,"2005"
"RO","RO01a",27/08/2008,31/12/2005,"2005"
"SE","SER2",27/08/2008,31/12/2006,"2006"
"SK","SK1",27/08/2008,31/12/2005,"2005"
"SI","SI-0001",27/08/2008,31/12/2006,"2006"
"CY","CY 2007  Art.15",29/02/2008,31/12/2005,"2005"
"DK","DK1",,31/12/2005,"2005"
"MT","MT#1",21/08/2008,31/12/2005,"2005"
"ES","ES001",27/08/2008,31/12/2006,"2006"
"PL","PL01",18/06/2008,31/12/2006,"2006"
"BG","BG1",,31/12/2006,"2006"
"UK","UK1",,31/12/2006,"2006"
"IT","IT001",06/11/2009,31/12/2005,"2005"
"IE","IE2006",,31/12/2006,"2006"
