"rptMStateKey","rptMStateValue","rptCulture"
"AT","Austria","de-AT"
"BE","Belgium","de-AT"
"DE","Germany","de-AT"
"EE","Estonia","de-AT"
"FI","Finland","de-AT"
"FR","France","de-AT"
"HU","Hungary","de-AT"
"LV","Latvia","de-AT"
"LT","Lithuania","de-AT"
"LU","Luxembourg","de-AT"
"NL","Netherlands","de-AT"
"PT","Portugal","de-AT"
"RO","Romania","de-AT"
"SE","Sweden","de-AT"
"SK","Slovakia","de-AT"
"SI","Slovenia","de-AT"
"CY","Cyprus","de-AT"
"DK","Denmark","de-AT"
"MT","Malta","en-GB"
"ES","Spain","de-AT"
"PL","Poland","pl-PL"
"BG","Bulgaria","de-AT"
"UK","United Kingdom","en-UK"
"IT","Italy","it-IT"
"IE","Ireland","ie-IE"
