"rptMStateKey","mslSludgeProduction","mslDischargePipelines","mslDischargeShips","mslDischargeOthers","mslReuseSoilAgriculture","mslReuseOthers","mslDisposalLandfill","mslDisposalIncineration","mslDisposalOthers","mslRemarks","mslWWReusePerc","mslWWReuseAgri","mslWWReuseInd","mslWWReuseOther","mslWWReuseExplain"
"AT",239418,,,,39519,65730,24242,89238,20836,"",,False,False,False,""
"BE",112760,0,0,0,17694,44783,3491,46716,76,"",2,False,True,False,""
"DE",2169592,0,0,0,911025,211090,27122,941699,79099,"",0,False,False,False,""
"EE",55554,,,,20726,,34828,,,"There is no waste water re-use in Estonia.",,False,False,False,""
"FI",147700,,,,144600,,3100,0,,"",0,False,False,False,""
"FR",1001533,0,0,0,393806,207835,197574,202318,,"",,False,False,False,""
"LV",28877,0,0,,9035,1894,0,0,15791,"",,False,False,False,""
"LT",65680,,,,16240,,,,49440,"",,False,False,False,""
"LU",13400,,,,6733,2145,,1097,3425,"",,False,False,False,""
"NL",347556,,,,,73202,14283,260071,,"",,False,False,False,""
"PT",306600,,,,183960,,91980,,,"",,False,False,False,""
"RO",141802,,,,727.1,,73940.6,375,66759.3,"temporary storage on own platforms, treated sludge by other methods, compost",0,False,False,False,""
"SE",210000,,,,124000,50000,23000,,,"",,False,False,False,""
"SK",56360,0,0,0,5876,33248,8529,0,,"",,False,False,False,""
"SI",19400,,,,27,,8584,5228,5561,"",,False,False,False,""
"HU",261321,0,0,0,88381,53875,58218,1727,59120,"-",0,False,False,False,"-"
"CY",6542,0,0,0,3427,3115,0,0,0,"The 3115 t DS/y mentioned in others refers to the quantity of sludge temporarily stored on site, awaiting for the proper time to be reused in agriculture.",88,True,False,True,"Groundwater recharge"
"DK",140,,,,62,31,16,6,25,"",,False,False,False,""
"MT",1400,,,,,,,,1400,"Sewage Sludge is disposed to the collection system (sewer network) of the ' Malta South' agglomeration. The Sant Antnin Urban Waste Water Treatment Plant is not equipped with a sludge thickening/dewatering line.",45,True,False,False,""
"ES",1064972,0,0,0,687037,0,168050,41067,168818,"",13,True,False,False,"1% otros"
"PL",501300,0,0,0,218400,,185600,4500,,"",,False,False,False,""
"UK",1297279,,,,999194,,9896,194495,,"",,False,False,False,""
"IT",1056411,0,0,0,236363,229689,440118,30768,115673,"(Lombardia)N.B. La quantità di fanghi smaltiti in discarica è comprensiva di una quantità di fanghi proveniente da altre regioni. ARPA sta provvedendo a scorporare il dato e a breve fornirà i quantitiativi prodotti e smaltiti nella sola Lombardia. Il dato",9,True,True,True,"(Bolzano)riutilizzo interno come acqua industriale"
"IE",71513,,,,57042,5936,8536,,,"",,False,False,False,""
